<<<<<<< HEAD
"stat"	"p_value"	"model"
"pr-issue"	5.54215957421276	0.0000000298763846995342	"pr-issue"
"open_time"	-0.974557339037883	0.329779883758763	"open_time"
"comment_grateful_cumulative"	6.72249903692325	0.0000000000178633919245734	"comment_grateful_cumulative"
"comment_sentiment_max_negative"	1.36688282838293	0.171662035144497	"comment_sentiment_max_negative"
"comment_sentiment_max_positive"	10.8645971258058	0.00000000000000000000000000169971719067617	"comment_sentiment_max_positive"
"number_of_comments"	9.33817786981099	0.00000000000000000000980061716824498	"number_of_comments"
"comment_member_ratio"	-8.34363861584085	0.0000000000000000720389109697531	"comment_member_ratio"
"comment_sentiment_mean"	6.34231653792037	0.000000000226335667548611	"comment_sentiment_mean"
"ticket_familyissue:open_time"	3.59613472904788	0.000322980566347567	"ticket_familyissue:open_time"
"ticket_familypr:open_time"	-2.90265829620077	0.00370010112135485	"ticket_familypr:open_time"
"ticket_familyissue:comment_sentiment_max_negative"	-1.27552783813243	0.202122477336641	"ticket_familyissue:comment_sentiment_max_negative"
"ticket_familypr:comment_sentiment_max_negative"	3.87245748618942	0.000107743473892824	"ticket_familypr:comment_sentiment_max_negative"
"ticket_familyissue:comment_sentiment_max_positive"	5.3005930364907	0.000000115427126170082	"ticket_familyissue:comment_sentiment_max_positive"
"ticket_familypr:comment_sentiment_max_positive"	0.394956686689822	0.692874853711923	"ticket_familypr:comment_sentiment_max_positive"
"ticket_familyissue:number_of_comments"	4.01159957724027	0.0000603087291767784	"ticket_familyissue:number_of_comments"
"ticket_familypr:number_of_comments"	6.53490847960629	0.0000000000636484502155372	"ticket_familypr:number_of_comments"
"ticket_familyissue:comment_member_ratio"	-4.28059092634482	0.0000186397709995601	"ticket_familyissue:comment_member_ratio"
"ticket_familypr:comment_member_ratio"	-8.93657879032061	0.000000000000000000401404926153559	"ticket_familypr:comment_member_ratio"
"ticket_familyissue:comment_sentiment_mean"	4.38667314072805	0.0000115097551089714	"ticket_familyissue:comment_sentiment_mean"
"ticket_familypr:comment_sentiment_mean"	-0.823909710868125	0.409990862280356	"ticket_familypr:comment_sentiment_mean"
"ticket_familyissue:comment_grateful_cumulative"	0.0585577227852563	0.953304385195186	"ticket_familyissue:comment_grateful_cumulative"
"ticket_familypr:comment_grateful_cumulative"	3.01073499267551	0.00260616198989264	"ticket_familypr:comment_grateful_cumulative"
"ticket_familyissue:comment_sentiment_variance"	-0.973519400359465	0.330295222924191	"ticket_familyissue:comment_sentiment_variance"
"ticket_familypr:comment_sentiment_variance"	1.23129420080448	0.218212850065838	"ticket_familypr:comment_sentiment_variance"
=======
"Estimate"	"Std..Error"
"ticket_familyissue"	-0.822150150315442	0.0771815069509294
"ticket_familypr"	-0.207366651699636	0.0799942844912765
"(Intercept)"	-0.621003921086801	0.0778248821583003
"open_time"	-0.000000000577101147128691	0.000000000445360214476135
"(Intercept)1"	-0.733508719650326	0.0740740683695677
"comment_grateful_cumulative"	0.0764657893416349	0.0114114970228091
"(Intercept)2"	-0.675599914841741	0.0756859691139336
"comment_sentiment_max_negative"	0.179789356255889	0.128459905863398
"(Intercept)3"	-0.87824845002511	0.0722794282731301
"comment_sentiment_max_positive"	0.673591783159481	0.0619641531404766
"(Intercept)4"	-0.781332803566135	0.0731128879928268
"number_of_comments"	0.0210526113321288	0.00225154305649431
"(Intercept)5"	-0.287584031431345	0.0926191361657337
"comment_member_ratio"	-0.541349386894431	0.0647294273108669
"(Intercept)6"	-0.745083867292424	0.0733448396068863
"comment_sentiment_mean"	0.408322248668748	0.0643970264478656
"ticket_familyissue1"	-0.858651501516363	0.0798445662836664
"ticket_familypr1"	-0.182183806526727	0.0821855438932204
"ticket_familyissue:open_time"	0.00000000155992245564873	0.000000000473022319600213
"ticket_familypr:open_time"	-0.00000000472462788461154	0.00000000159826572158153
"ticket_familyissue2"	-0.814724931142335	0.0755421499679008
"ticket_familypr2"	-0.328826466356533	0.0798620096793012
"ticket_familyissue:comment_sentiment_max_negative"	-0.215184523822129	0.168806968262616
"ticket_familypr:comment_sentiment_max_negative"	0.847455496134455	0.206332109232008
"ticket_familyissue3"	-0.968528140196877	0.0757619819596543
"ticket_familypr3"	-0.25231473263011	0.0899959883990457
"ticket_familyissue:comment_sentiment_max_positive"	0.495582765736042	0.0934977175166981
"ticket_familypr:comment_sentiment_max_positive"	0.0449972269845329	0.0995648388117145
"ticket_familyissue4"	-0.910139271167561	0.0747007851484738
"ticket_familypr4"	-0.38238165765594	0.0790969266289127
"ticket_familyissue:number_of_comments"	0.0129979606412036	0.00324057378773255
"ticket_familypr:number_of_comments"	0.0211447449133939	0.00319538008269518
"ticket_familyissue5"	-0.611702567568415	0.0922573072830052
"ticket_familypr5"	0.575101355344408	0.115795938955877
"ticket_familyissue:comment_member_ratio"	-0.337446569830717	0.0786999069217348
"ticket_familypr:comment_member_ratio"	-1.14698285348171	0.119951961087225
"ticket_familyissue6"	-0.902249327841438	0.0726598102666497
"ticket_familypr6"	-0.207522406770056	0.083164502560008
"ticket_familyissue:comment_sentiment_mean"	0.335736785764754	0.0765266383501592
"ticket_familypr:comment_sentiment_mean"	-0.0901854693901352	0.13111528251667
"ticket_familyissue7"	-0.842633293490779	0.0743329385747815
"ticket_familypr7"	-0.312833816391617	0.0800062049231141
"ticket_familyissue:comment_grateful_cumulative"	0.00110766375969842	0.0183264201565693
"ticket_familypr:comment_grateful_cumulative"	0.0529307836489827	0.0155695320716389
"ticket_familyissue8"	-0.777944320981372	0.0732672630366701
"ticket_familypr8"	-0.245550455717946	0.0848571414296259
"ticket_familyissue:comment_sentiment_variance"	-0.161087711041067	0.166016035825517
"ticket_familypr:comment_sentiment_variance"	0.445575948304795	0.291710649544208
>>>>>>> 7ea8a4e28ec283d9f6e930c3ad1268db6826f1dc
